,Date,A,AAP,AAPL,ABT,ACN,ADBE,ADM,ADS,AEE,AES,AFL,AGN,AIG,AIV,AKAM,ALL,AMAT,AMZN,APH,APTV,BBY,CAH,CCL,COF,COST,CPRI,DVN,GOOG,KMX,MMM,MO,T,XRAY,GSPC,RF
103,2013-12-09,1.4946,1.205,0.4974,1.1614,1.129,0.8102,1.0804,0.9667,0.8212,1.3776,0.6791,0.1232,1.4664,1.0167,1.5466,1.0263,1.1018,1.5206,1.2852,1.2016,1.0051,0.8375,1.0514,0.8889,1.0259,0.9642,1.493,1.3116,1.5006,0.7422,0.9569,0.7336,0.8251,1.0,0.001
104,2013-12-16,1.3669,1.1777,0.4553,1.1093,1.1201,0.5978,1.0299,0.9388,0.9516,1.5727,0.8922,0.5982,1.4891,1.0683,1.7626,1.0226,1.1203,1.5642,1.3026,1.3542,1.0373,0.7283,1.0283,0.6885,1.0507,0.7989,1.4746,1.3362,1.6426,0.7696,0.9369,0.6309,0.7605,1.0,0.001
105,2013-12-23,1.3646,1.0869,0.4035,1.1431,1.268,0.4779,1.1342,0.8645,1.0007,1.5946,0.8228,0.5752,1.46,1.0371,1.771,1.0041,1.1153,1.5798,1.312,1.254,0.882,0.7017,1.1625,0.754,1.0022,0.7837,1.4748,1.3412,1.4054,0.9058,0.9765,0.6287,0.7424,1.0,0.001
106,2013-12-30,1.3479,1.0704,0.4448,1.1584,1.2815,0.4771,1.1267,0.8847,0.9842,1.5907,0.8572,0.5694,1.454,1.0299,1.7361,0.9902,1.0716,1.5475,1.3148,1.2567,0.8526,0.6801,1.1563,0.8138,0.989,0.7167,1.4774,1.3768,1.3544,0.9009,0.9558,0.6571,0.7201,1.0,0.001
107,2014-01-06,1.3309,1.0329,0.6035,1.1502,1.2722,0.4924,1.1446,0.8639,0.9929,1.6184,0.851,0.587,1.4283,1.0175,1.7183,0.9876,1.0627,1.5221,1.3211,1.2697,0.8236,0.6954,1.1417,0.8093,0.9931,0.6447,1.4769,1.3428,1.3408,0.9026,0.9571,0.6548,0.694,1.0,0.001
108,2014-01-13,1.3401,1.0469,0.59,1.1456,1.2707,0.4945,1.1423,0.8627,0.9955,1.6261,0.8507,0.5952,1.4161,1.0295,1.7226,0.9846,1.0542,1.5472,1.3216,1.2801,0.801,0.7141,1.1501,0.811,0.9888,0.6513,1.4574,1.3396,1.3427,0.8962,0.9472,0.6321,0.6969,1.0,0.001
109,2014-01-20,1.3164,1.0378,0.5841,1.1478,1.2562,0.4783,1.1646,0.8679,1.0007,1.6351,0.8508,0.602,1.4326,1.01,1.6962,1.0,1.0537,1.5415,1.3008,1.2649,1.1183,0.7374,1.1443,0.8673,0.995,0.6811,1.4743,1.3274,1.3528,0.8918,0.951,0.6176,0.7126,1.0,0.001
110,2014-01-27,1.3481,1.0302,0.4979,1.274,1.274,0.5816,1.2049,0.9095,0.9369,1.6278,0.9065,0.6947,1.5072,0.9625,1.5832,1.0611,1.0414,1.5182,1.4187,1.329,0.9828,0.8111,1.2045,0.8679,1.0243,0.5295,1.2948,1.2992,1.2699,0.9992,0.8385,0.5856,0.7942,1.0,0.001
111,2014-02-03,1.335,1.0395,0.5563,1.2594,1.2907,0.579,1.1992,0.9374,0.9006,1.608,0.9181,0.6278,1.5045,0.9438,1.5524,1.0624,1.0531,1.5815,1.4102,1.2868,1.0387,0.7617,1.1656,0.8446,1.014,0.4855,1.2465,1.2619,1.25,1.017,0.9028,0.5928,0.7713,1.0,0.001
112,2014-02-10,1.3386,1.0677,0.5633,1.2572,1.2909,0.6081,1.1977,0.9852,0.8924,1.6142,0.9118,0.6173,1.5058,0.9688,1.6337,1.0718,1.0583,1.5772,1.409,1.3074,1.054,0.7541,1.1759,0.8422,1.0179,0.5632,1.2536,1.2534,1.2688,1.0201,0.8911,0.5775,0.7592,1.0,0.001
113,2014-02-17,1.1258,1.0871,0.6626,1.2782,1.2327,0.6983,1.202,1.1032,0.9527,1.6222,0.9228,0.6051,1.4077,0.9366,1.7143,1.0177,1.2663,1.4841,1.3808,1.3189,0.7505,0.8417,1.223,0.7889,1.0184,0.6858,1.1974,1.2294,1.1011,1.006,0.8721,0.593,0.7098,1.0,0.001
114,2014-02-24,1.1191,1.0812,0.6754,1.2833,1.2289,0.7075,1.2099,1.1062,0.9218,1.6185,0.9209,0.539,1.4141,0.9325,1.7273,1.0065,1.2694,1.5155,1.3865,1.3059,0.7375,0.8356,1.2468,0.7976,1.0344,0.7026,1.1752,1.2398,1.1027,1.0055,0.8784,0.599,0.7269,1.0,0.001
115,2014-03-03,1.086,1.0569,0.693,1.286,1.1893,0.7171,1.212,1.0863,0.9034,1.5325,0.944,0.5082,1.3938,0.9239,1.691,1.0067,1.2399,1.5291,1.3794,1.2955,0.8418,0.7463,1.2297,0.8036,1.076,0.6649,1.17,1.2261,1.0992,1.0149,0.9067,0.5711,0.7234,1.0,0.001
116,2014-03-10,1.0914,1.0331,0.7151,1.2571,1.1778,0.7063,1.2071,1.0747,0.8818,1.542,0.9549,0.4703,1.3968,0.9276,1.676,1.0171,1.2515,1.5271,1.3845,1.2787,0.8267,0.7542,1.2197,0.8075,1.0492,0.6529,1.181,1.2299,1.0832,1.0085,0.9078,0.5796,0.7383,1.0,0.001
117,2014-03-17,1.1758,1.0168,0.6559,1.2895,1.2167,0.7325,1.0757,1.0669,0.769,1.5134,0.9109,0.5312,1.4665,0.9543,1.6378,1.0152,1.2997,1.4071,1.2854,1.2472,1.0056,0.7759,1.2139,0.871,1.0092,0.5984,1.169,1.2582,1.1046,1.0479,0.9261,0.6112,0.7627,1.0,0.001
118,2014-03-24,1.0747,1.0432,0.6647,1.2653,1.2464,0.6844,1.149,1.1066,0.7472,1.457,0.8976,0.5321,1.466,0.9757,1.6442,1.0227,1.3606,1.2793,1.3242,1.2183,1.201,0.7375,1.2605,0.9517,1.0369,0.5816,1.1932,1.2932,1.0393,1.0733,0.9097,0.6562,0.7426,1.0,0.001
119,2014-03-31,0.9763,1.0308,0.4181,1.359,1.3041,0.7249,1.1563,1.2323,0.8047,1.4668,0.9058,0.5938,1.4606,1.0015,1.6118,1.0063,1.2788,1.2748,1.385,1.077,1.1951,0.7578,1.3362,1.0653,1.0704,0.4913,1.0435,1.4431,1.0746,1.0702,0.8745,0.6883,0.757,1.0,0.001
120,2014-04-07,1.0348,1.0068,0.3322,1.4233,1.2527,0.7426,1.1287,1.2065,0.8195,1.4303,0.8169,0.5897,1.4221,1.044,1.2771,1.0304,1.179,1.342,1.3913,1.0115,1.2134,0.7565,1.321,1.072,1.0239,0.4283,1.0114,1.4802,1.0252,1.1325,0.8513,0.7561,0.7767,1.0,0.0
121,2014-04-14,1.1522,1.0884,0.2664,1.4565,1.1956,0.6819,0.9449,1.2995,0.7464,1.3373,0.8357,0.7234,1.2625,1.1125,1.2073,1.0599,1.2334,1.3688,1.3302,1.0861,1.1835,0.7886,1.2743,1.1018,0.9116,0.4799,0.8381,1.3879,1.0935,1.0987,0.7761,0.723,0.8554,1.0,0.0
122,2014-04-21,1.1351,1.1095,0.2673,1.5373,1.2111,0.8421,0.9273,1.1925,0.7611,1.3204,0.9021,0.6671,1.2726,1.0574,1.1905,1.0099,1.137,1.3759,1.316,1.113,1.0646,0.8112,1.2329,1.0508,0.8939,0.4922,0.8869,1.2985,1.1137,1.111,0.7822,0.7773,0.8494,1.0,0.0
123,2014-04-28,1.1005,1.1453,0.3283,1.5766,1.2105,0.8728,0.9226,1.2481,0.7487,1.4095,0.9008,0.6212,1.27,1.0101,1.2171,1.0231,1.1932,1.4062,1.2937,1.0427,0.9864,0.8014,1.2769,1.0506,0.867,0.5178,0.9381,1.2993,1.0895,1.1448,0.7664,0.8127,0.9018,1.0,0.0
124,2014-05-05,1.1111,1.1061,0.3858,1.6522,1.2373,0.7984,0.8714,1.2908,0.657,1.3819,0.9148,0.6459,1.2753,0.9943,1.2019,1.0087,1.1678,1.3868,1.2253,1.0509,1.008,0.7406,1.2143,1.0886,0.9007,0.5226,0.9185,1.2707,1.0828,1.1556,0.776,0.8231,0.8878,1.0,0.0
125,2014-05-12,1.1179,1.0739,0.4092,1.6342,1.265,0.84,0.796,1.2765,0.6546,1.3573,0.9724,0.6147,1.2907,0.944,1.2297,1.0021,1.262,1.4812,1.2359,1.097,1.1224,0.7375,1.2537,1.0973,0.8513,0.6012,0.9029,1.2974,1.1072,1.1788,0.7442,0.752,0.9178,1.0,0.0
126,2014-05-19,1.1288,1.0721,0.4155,1.6247,1.271,0.8202,0.7957,1.2744,0.6455,1.3437,0.9714,0.6011,1.2839,0.9569,1.2408,1.0154,1.2425,1.4629,1.2445,1.0906,1.1324,0.738,1.2729,1.092,0.8479,0.6059,0.9083,1.2956,1.1062,1.1813,0.743,0.7444,0.9236,1.0,0.0
127,2014-05-26,1.1129,1.0455,0.3915,1.6248,1.2815,0.8107,0.7969,1.3047,0.5958,1.2906,0.987,0.6394,1.3139,0.9269,1.161,1.0085,1.2261,1.5064,1.2201,1.1744,1.1866,0.7985,1.373,1.0801,0.858,0.5849,0.8667,1.352,1.1005,1.1806,0.7194,0.7293,0.9245,1.0,0.0
128,2014-06-02,1.1089,1.0261,0.3008,1.6327,1.3417,0.9667,0.8574,1.3035,0.5921,1.1814,1.0108,0.5121,1.282,0.8782,1.1022,1.0772,1.232,1.5888,1.2971,1.1222,1.2751,0.8128,1.4183,1.1693,0.8569,0.4867,0.8791,1.4544,1.0489,1.2145,0.7551,0.6578,0.9725,1.0,0.0
129,2014-06-09,1.1394,1.0472,0.3385,1.6308,1.413,0.9854,0.8397,1.3058,0.5653,1.1738,1.0109,0.4684,1.2818,0.84,1.1285,1.0814,1.3106,1.6253,1.2939,1.1253,1.3068,0.8045,1.3972,1.1709,0.8608,0.4515,0.8964,1.434,1.0734,1.2194,0.7416,0.6233,0.9847,1.0,0.001
130,2014-06-16,1.118,1.086,0.3055,1.6521,1.4063,0.9667,0.8553,1.3052,0.6401,1.2272,1.0566,0.4964,1.2933,0.8447,1.1044,1.0743,1.2786,1.6115,1.2792,1.1483,1.2104,0.8629,1.4161,1.1307,0.8833,0.4595,0.7936,1.441,1.1017,1.2227,0.7334,0.6101,0.9766,1.0,0.001
131,2014-06-23,1.1015,1.2252,0.2667,1.7698,1.4326,1.0612,0.8224,1.2937,0.5757,1.2163,1.0465,0.6031,1.3008,0.799,1.1042,1.0222,1.109,1.4804,1.1867,1.0728,1.2849,0.826,1.4452,1.2079,0.8107,0.3845,0.8167,1.4533,1.363,1.2299,0.7285,0.6672,1.0339,1.0,0.001
132,2014-06-30,1.1126,1.2229,0.2713,1.7668,1.4478,1.077,0.8338,1.294,0.5596,1.2024,1.0495,0.6027,1.3116,0.7949,1.1133,1.0166,1.1265,1.4845,1.25,1.0687,1.2512,0.8235,1.4544,1.1977,0.803,0.397,0.8004,1.4533,1.3748,1.2355,0.7448,0.6612,1.0338,1.0,0.001
133,2014-07-07,1.1115,1.2104,0.2959,1.7941,1.4212,1.0744,0.8689,1.2874,0.5092,1.1671,1.059,0.5945,1.3121,0.7753,1.1345,1.003,1.1145,1.5228,1.2527,1.0853,1.2849,0.8358,1.4453,1.2038,0.7985,0.4034,0.7621,1.4406,1.382,1.2325,0.7326,0.6651,1.0277,1.0,0.0
134,2014-07-14,1.1419,1.2284,0.2481,1.8016,1.424,1.1127,0.7814,1.2859,0.467,1.155,1.0465,0.6155,1.2993,0.7867,1.1925,1.0058,1.1052,1.495,1.2491,1.0957,1.3273,0.8395,1.4632,1.2061,0.7452,0.3812,0.8072,1.4283,1.3564,1.2295,0.7039,0.6573,1.0143,1.0,0.0
135,2014-07-21,1.1526,1.2263,0.2056,1.8084,1.4292,1.1134,0.8288,1.3245,0.4134,1.2347,1.0534,0.5858,1.3178,0.8181,1.1957,0.9733,1.0475,1.4947,1.2355,1.0996,1.3242,0.8641,1.4398,1.1942,0.708,0.4365,0.8909,1.4284,1.38,1.2518,0.6877,0.6306,1.0134,1.0,0.0
136,2014-07-28,1.2745,1.2218,0.5469,1.8544,1.4494,1.0493,0.7818,1.3608,0.267,1.2176,1.0826,0.6244,1.3612,0.6921,1.232,0.96,1.1388,1.5116,1.1939,1.1394,1.3899,0.8918,1.5563,1.2316,0.6638,0.3781,0.8741,1.4041,1.3743,1.2714,0.6318,0.6259,1.0425,1.0,0.0
137,2014-08-04,1.1703,1.2444,0.5672,1.7484,1.3653,1.1543,0.8381,1.3835,0.3572,1.1843,1.2348,0.5998,1.3611,0.6356,1.2705,0.8512,1.0581,1.5419,1.1234,1.1276,1.4317,0.8099,1.4002,1.2062,0.5789,0.3064,0.9513,1.4108,1.2493,1.2763,0.6881,0.5811,0.9584,1.0,0.0
138,2014-08-11,1.1709,1.1977,0.5068,1.7193,1.377,1.2014,0.8048,1.3612,0.3665,1.2058,1.2444,0.6389,1.3835,0.5743,1.2703,0.8153,1.0114,1.5443,1.1052,1.1586,1.6025,0.7867,1.408,1.1793,0.5825,0.3786,0.9444,1.4064,1.2494,1.3377,0.6856,0.5755,0.9938,1.0,0.0
139,2014-08-18,1.2001,1.2745,0.5238,1.7293,1.3668,1.2026,0.8034,1.3308,0.4048,1.1766,1.2527,0.6727,1.3737,0.571,1.2717,0.8181,1.0587,1.5406,1.1409,1.1317,1.553,0.7956,1.4482,1.1776,0.5506,0.335,0.9038,1.3721,1.1537,1.3349,0.6842,0.6027,0.9977,1.0,0.0
140,2014-08-25,1.1703,1.3366,0.7377,1.6662,1.378,1.2271,0.7674,1.3206,0.4747,1.1857,1.1848,0.8061,1.3663,0.5651,1.1504,0.772,0.9939,1.532,1.1553,1.1879,1.6046,0.7352,1.3995,1.1679,0.5474,0.4867,0.9339,1.3933,1.2009,1.313,0.6824,0.5402,0.9709,1.0,0.0
141,2014-09-01,1.086,1.3411,0.7506,1.6717,1.3491,1.1278,0.7547,1.3116,0.4079,1.1944,1.1833,0.8212,1.3794,0.5575,1.1284,0.7364,1.0326,1.4844,1.1682,1.1698,1.6288,0.7427,1.4285,1.1572,0.5422,0.4422,0.9263,1.3799,1.2219,1.3164,0.6557,0.5537,0.9789,1.0,0.0
142,2014-09-08,1.0905,1.3918,0.8237,1.5865,1.2999,1.1341,0.7567,1.3366,0.4347,1.2384,1.2105,0.9427,1.3849,0.5084,1.116,0.7156,1.2405,1.5163,1.2066,1.2069,1.66,0.7054,1.2289,1.1758,0.5113,0.4227,0.9227,1.3471,1.1749,1.3481,0.6189,0.5474,0.9732,1.0,0.0
143,2014-09-15,1.0467,1.4315,0.7621,1.5776,1.2835,1.1657,0.7378,1.3589,0.5189,1.2677,1.2449,0.9154,1.3512,0.5995,1.069,0.7261,1.2537,1.5695,1.1747,1.1855,1.5448,0.7144,1.2025,1.2017,0.5191,0.4145,0.9806,1.3518,1.1788,1.3185,0.6188,0.5668,0.9965,1.0,0.0
144,2014-09-22,1.0331,1.4005,0.7322,1.5869,1.2606,1.0768,0.7591,1.2775,0.5224,1.2679,1.2013,0.9584,1.3377,0.5669,1.0619,0.7398,1.2407,1.5708,1.1597,1.0976,1.5599,0.7074,1.2388,1.2232,0.5181,0.4387,0.9751,1.379,1.196,1.3218,0.6606,0.5876,0.9834,1.0,0.0
145,2014-09-29,1.0517,0.9892,0.7,1.4343,1.2726,1.055,0.7385,1.2012,0.5567,1.2696,1.1605,0.9052,1.2775,0.5822,1.1814,0.7303,1.3639,1.5039,1.0725,1.0496,1.4332,0.705,1.2403,1.3436,0.5132,0.5236,0.9548,1.0889,1.4475,1.3869,0.6385,0.5489,0.9798,1.0,0.0
146,2014-10-06,1.0506,0.9102,0.6959,1.4361,1.2409,1.038,0.698,1.1637,0.5112,1.2609,1.1558,0.9053,1.3047,0.5718,1.2884,0.7321,1.4395,1.4078,1.1162,1.0908,1.3976,0.7194,1.2349,1.3428,0.5048,0.4359,1.0079,1.0865,1.4701,1.3927,0.626,0.5296,0.9697,1.0,0.0
147,2014-10-13,1.1453,0.8747,0.5825,1.2781,1.2533,1.2175,1.0015,1.2492,0.3834,1.3419,1.0826,0.9781,1.382,0.4378,1.3473,0.6821,1.4347,1.3485,1.3052,1.1333,1.5418,0.6699,1.5005,1.2675,0.3913,0.4658,1.2457,1.1637,1.3758,1.3974,0.5221,0.5858,0.9511,1.0,0.0
148,2014-10-20,1.1674,0.8561,0.6252,1.2659,1.2284,1.1784,1.0399,1.101,0.3794,1.3094,1.0482,1.0493,1.3408,0.4267,1.3982,0.6821,1.4145,1.3675,1.2197,1.0773,1.478,0.6875,1.4854,1.3193,0.4209,0.4746,1.2782,1.236,1.3255,1.3391,0.5514,0.5787,0.9192,1.0,0.0
149,2014-10-27,1.0382,0.8692,0.7959,1.2482,1.1575,1.1038,1.023,1.1199,0.4542,1.1713,0.9854,1.0815,1.2494,0.4723,1.2966,0.6944,1.451,0.9158,1.0727,1.0859,1.4718,0.7136,1.679,1.2631,0.5238,0.5842,1.2197,1.262,1.6132,1.4416,0.6036,0.4718,0.8522,1.0,0.0
150,2014-11-03,1.0343,0.8818,0.7969,1.2318,1.1711,1.141,1.0253,1.137,0.484,1.1715,0.9823,1.0277,1.2367,0.5262,1.4184,0.731,1.4792,1.0167,1.0843,1.0923,1.4836,0.7058,1.6746,1.2866,0.542,0.6436,1.1504,1.2697,1.6173,1.4308,0.6014,0.5103,1.0273,1.0,0.0
151,2014-11-10,1.0456,0.8629,0.8064,1.2258,1.1795,1.1464,1.0456,1.1331,0.4866,1.1527,0.9771,1.0252,1.2378,0.5199,1.4135,0.7351,1.4816,1.0193,1.0833,1.094,1.5001,0.7002,1.6742,1.2865,0.5539,0.5969,1.1768,1.2578,1.6136,1.4378,0.6084,0.509,1.0278,1.0,0.0
152,2014-11-17,1.0537,0.8724,0.8124,1.2218,1.1742,1.1391,1.0572,1.1403,0.486,1.1621,0.9802,1.0271,1.2363,0.5257,1.419,0.7358,1.4749,1.0289,1.0854,1.0951,1.5063,0.6993,1.6717,1.2887,0.5467,0.596,1.1744,1.2616,1.6182,1.4289,0.6065,0.5072,1.0317,1.0,0.0
153,2014-11-24,1.1037,0.9755,0.8115,1.1889,1.1541,1.327,1.0227,1.1799,0.4259,1.0611,0.9988,1.0067,1.2868,0.5313,1.4826,0.701,1.4858,1.0653,1.1035,1.133,1.5942,0.7478,1.7446,1.2825,0.4985,0.6995,1.2009,1.2697,1.6564,1.431,0.5954,0.4645,1.0807,1.0,0.0
154,2014-12-01,1.0884,1.0413,0.8863,1.1685,1.0297,1.4495,0.9282,1.2421,0.3655,1.0152,1.0506,1.0361,1.2944,0.5554,1.4733,0.7058,1.5024,1.009,1.0867,1.2023,1.7066,0.7611,1.6635,1.2506,0.5176,0.6834,1.2015,1.2489,1.8573,1.3404,0.5539,0.4622,1.108,1.0,0.0
155,2014-12-08,1.096,1.0584,0.8789,1.1725,1.0176,1.4621,0.9342,1.2232,0.3784,1.0147,1.0359,1.0378,1.3078,0.5609,1.5109,0.7221,1.5159,1.0166,1.0969,1.1947,1.6982,0.7648,1.6581,1.2514,0.5281,0.7321,1.2035,1.2414,1.9094,1.3402,0.5749,0.4376,1.1267,1.0,0.0
156,2014-12-15,1.1716,0.8346,0.9246,1.1627,1.0565,1.1264,1.0414,1.1371,0.36,0.9718,0.9625,1.0361,1.2179,0.5413,1.5069,0.7045,1.5414,0.9318,1.0506,1.2214,1.3795,0.7991,1.5876,1.2287,0.5932,0.6825,1.4533,1.1189,1.7239,1.2876,0.6133,0.5556,1.1044,1.0,0.0
157,2014-12-22,1.1742,0.74,0.8867,1.1915,1.2195,0.972,1.0795,1.1889,0.4641,0.9313,1.0184,0.9714,1.1918,0.5452,1.4635,0.7252,1.5349,0.8078,1.0826,1.2391,1.454,0.8328,1.5545,1.198,0.6085,0.5635,1.7272,1.0162,1.9457,1.316,0.6012,0.6305,0.9838,1.0,0.0
158,2014-12-29,1.1836,0.7424,0.8932,1.1827,1.2252,0.9793,1.0759,1.1858,0.4806,0.9507,1.0205,0.9474,1.1846,0.5543,1.4717,0.7182,1.5335,0.8283,1.09,1.2418,1.2893,0.8118,1.562,1.1715,0.6049,0.5546,1.7106,1.0396,1.9317,1.3155,0.5922,0.6437,0.9737,1.0,0.0
159,2015-01-05,1.1481,0.7296,1.0125,1.092,1.2208,0.9719,1.0689,1.1962,0.5264,0.9453,0.9919,0.8866,1.0905,0.5386,1.5572,0.6502,1.5551,0.7969,1.0042,1.2022,1.4117,0.7833,1.4991,1.1709,0.5546,0.6851,1.8074,1.0555,2.0039,1.2582,0.6628,0.6633,0.9571,1.0,0.0
160,2015-01-12,1.1442,0.7131,0.9384,1.0848,1.1988,0.9756,1.115,1.1528,0.5741,1.0041,1.0254,0.8948,1.1287,0.5311,1.576,0.6523,1.5619,0.7765,1.0089,1.2352,1.3867,0.7691,1.4832,1.1982,0.5449,0.7417,1.8054,1.1256,2.023,1.257,0.6008,0.67,0.9454,1.0,0.0
161,2015-01-19,1.1884,0.7552,0.9903,1.0878,1.1922,0.9395,1.1292,1.0979,0.5353,0.9389,1.0182,0.8945,1.1564,0.4889,1.5091,0.6318,1.5797,0.7801,1.0252,1.2736,1.466,0.7914,1.4796,1.2211,0.5694,0.6875,1.7567,1.073,2.0072,1.2344,0.5454,0.6429,0.9882,1.0,0.0
162,2015-01-26,1.3579,0.7858,1.0,1.028,1.1908,0.8526,1.122,1.0615,0.4906,0.8287,1.0386,0.9291,1.1923,0.5008,1.4746,0.6531,1.4753,0.8968,1.0858,1.3072,1.4862,0.759,1.4994,1.2307,0.5729,0.6612,1.7542,1.128,2.087,1.2545,0.575,0.5982,0.9901,1.0,0.0
163,2015-02-02,1.3297,0.6913,0.8516,0.9131,1.2567,0.9232,1.1071,1.0689,0.5323,0.851,1.0304,1.0183,1.2339,0.5198,1.4901,0.6787,1.5122,0.5216,1.0703,1.2582,1.3824,0.7257,1.5179,1.2791,0.52,0.5473,1.6307,1.067,2.0542,1.201,0.6004,0.5873,0.9575,1.0,0.0
164,2015-02-09,1.3421,0.6943,0.8275,0.8788,1.2981,0.943,1.0725,0.9025,0.3985,0.8596,1.1074,1.0312,1.2939,0.432,1.5296,0.6662,1.5622,0.575,1.0646,1.4285,1.3669,0.7448,1.399,1.272,0.5456,0.561,1.7081,0.9959,1.9983,1.1648,0.5487,0.6988,0.9216,1.0,0.0
165,2015-02-16,1.3297,0.5813,0.8926,0.8803,1.2931,0.9956,1.0548,0.9382,0.3557,0.8061,1.0918,1.0701,1.2984,0.3892,1.6566,0.6418,1.5028,0.575,1.0577,1.4249,1.4141,0.7316,1.3783,1.2858,0.5769,0.5771,1.6936,1.0238,2.0193,1.1416,0.5585,0.6654,0.9409,1.0,0.0
166,2015-02-23,1.3001,0.5729,0.8888,0.8861,1.2846,0.9998,1.1364,0.9117,0.4268,0.8117,1.095,1.117,1.261,0.3792,1.6806,0.6359,1.4775,0.603,1.09,1.4284,1.4417,0.7524,1.3741,1.2683,0.5853,0.59,1.6779,0.9986,2.031,1.1222,0.5416,0.6768,0.8928,1.0,0.0
