,Date,A,AAP,AAPL,ABT,ACN,ADBE,ADM,ADS,AEE,AES,AFL,AGN,AIG,AIV,AKAM,ALL,AMAT,AMZN,APH,APTV,BBY,CAH,CCL,COF,COST,CPRI,DVN,GOOG,KMX,MMM,MO,T,XRAY,GSPC,RF
356,2018-10-15,1.3798,1.0551,0.9818,1.1694,1.0925,1.0636,0.7213,1.1543,0.0872,0.5095,0.941,1.3765,0.7201,0.6267,1.094,0.9482,1.6427,1.1236,1.1405,1.4087,0.8905,1.5485,0.8961,1.3788,0.7137,0.8358,1.1186,1.5048,1.1312,1.4708,0.8105,0.743,0.8263,1.0,0.047
357,2018-10-22,1.3811,1.0559,0.988,1.1716,1.0962,1.0669,0.724,1.1572,0.0889,0.51,0.9426,1.3751,0.7277,0.632,1.1005,0.9516,1.6463,1.1294,1.1478,1.4095,0.8941,1.5419,0.8988,1.3726,0.7212,0.8709,1.131,1.5085,1.128,1.4706,0.8155,0.7495,0.833,1.0,0.047
358,2018-10-29,1.3524,1.0315,0.9703,1.1317,1.0705,1.0132,0.8307,1.2546,0.1666,0.5754,1.0273,1.4312,0.9708,0.6419,1.1194,1.0088,1.6364,1.2259,1.0297,1.3381,0.925,1.5666,0.959,1.425,0.8055,0.9183,1.2097,1.4604,1.0167,1.5301,0.7424,0.9638,0.8843,1.0,0.047
359,2018-11-05,1.355,0.9827,0.8678,1.131,1.0404,0.9333,0.825,1.243,0.1305,0.5383,1.0056,1.288,1.0031,0.6262,1.2326,0.9375,1.6732,1.1691,1.0477,1.364,0.927,1.554,0.9727,1.3946,0.8202,0.9269,1.1683,1.3844,0.9778,1.5212,0.7216,0.9735,0.8767,1.0,0.044000000000000004
360,2018-11-12,1.3497,0.9145,0.8414,1.1369,1.0624,0.9432,0.7741,1.1935,0.1566,0.5807,1.0036,1.286,0.979,0.6587,1.19,0.9273,1.6869,1.1777,1.0354,1.2681,0.8038,1.5607,0.9727,1.3565,0.7721,0.6937,1.1467,1.3802,0.8893,1.498,0.6613,0.9196,0.8958,1.0,0.044000000000000004
361,2018-11-19,1.3674,0.8809,0.882,1.1445,1.0539,0.9666,0.8026,1.2219,0.1403,0.5862,1.0046,1.3128,0.9834,0.6566,1.195,0.9563,1.6385,1.2324,1.0496,1.2701,0.8104,1.5433,0.943,1.3608,0.7914,0.7102,1.2248,1.3688,0.9303,1.4521,0.7398,0.9207,0.8562,1.0,0.044000000000000004
362,2018-11-26,1.2075,0.8779,1.0283,1.1838,1.0815,1.0174,0.8213,1.1602,0.2004,0.632,0.9519,1.2701,0.9006,0.6032,1.1812,0.9291,1.5381,1.2724,1.0687,1.2264,0.8619,1.5069,0.8742,1.3195,0.8331,0.7017,1.3103,1.3442,0.8713,1.4682,0.7884,0.9032,0.8107,1.0,0.044000000000000004
363,2018-12-03,1.1925,0.7664,0.9855,1.2071,1.0537,1.1014,0.7741,1.0948,0.1865,0.6056,0.9143,1.1824,0.8084,0.5731,1.0675,0.8651,1.5248,1.3548,1.0222,1.0756,0.8261,1.4288,0.7817,1.2707,0.8322,0.5827,1.1871,1.3335,0.8945,1.443,0.7471,0.9274,0.8074,1.0,0.044000000000000004
364,2018-12-10,1.1637,0.8386,1.0183,1.2321,1.0614,1.1303,0.7913,1.1956,0.1491,0.5824,0.9555,1.1463,0.977,0.5481,1.0506,0.9049,1.5807,1.3356,1.042,1.1181,0.887,1.3517,0.8367,1.319,0.8357,0.6721,1.0808,1.3336,0.9299,1.4205,0.7149,0.9239,0.808,1.0,0.048
365,2018-12-17,1.1407,0.7535,1.0048,1.2169,1.0515,1.1122,0.7987,1.1757,0.1806,0.582,0.9311,1.1194,0.9623,0.5798,1.0622,0.9605,1.5394,1.324,1.0335,1.0562,0.9266,1.3614,0.8455,1.3351,0.8771,0.6768,1.0636,1.2973,0.8458,1.4194,0.7398,0.9465,0.7589,1.0,0.048
366,2018-12-24,1.1781,0.8381,1.0727,1.1792,1.1846,1.163,0.9011,1.3047,0.2848,0.7508,0.9144,1.2187,0.793,0.6845,1.1139,0.8049,1.4768,1.4475,1.0402,1.0482,1.0221,1.3537,1.0658,1.3047,0.898,0.6446,1.244,1.2459,0.8027,1.3505,0.8003,0.979,0.7291,1.0,0.048
367,2018-12-31,1.1687,0.822,1.0649,1.1817,1.1568,1.1808,0.8595,1.2886,0.2344,0.6805,0.9064,1.1766,0.7922,0.6323,1.092,0.7937,1.4705,1.4661,1.0357,1.0094,1.0177,1.3118,1.051,1.295,0.8964,0.6384,1.2402,1.2518,0.835,1.329,0.7588,0.9405,0.7631,1.0,0.048
368,2019-01-07,1.1387,0.7843,1.0521,1.0944,1.1503,1.1603,0.8167,1.3298,0.1942,0.6891,0.8605,1.191,0.7689,0.5844,1.0421,0.8122,1.4926,1.4403,1.0055,1.0048,1.0158,1.2763,1.0258,1.3244,0.8744,0.6307,1.2719,1.2392,0.8166,1.2961,0.7782,0.9601,0.7752,1.0,0.051
369,2019-01-14,1.1708,0.6953,1.023,1.0965,1.1683,1.1878,0.8028,1.3517,0.161,0.672,0.8659,1.1691,0.8043,0.5986,1.0872,0.8141,1.4281,1.5251,1.0574,1.1274,1.0038,1.2543,1.0718,1.34,0.86,0.6429,1.2721,1.192,0.7953,1.2752,0.7563,1.0115,0.7933,1.0,0.051
370,2019-01-21,1.1634,0.6984,1.0803,1.0582,1.2463,1.2285,0.8851,1.4295,0.2083,0.5758,0.8801,1.2219,0.8582,0.6136,1.1632,0.772,1.4788,1.5379,1.0176,1.1637,1.1124,1.3701,1.1314,1.3138,0.8308,0.6111,1.1529,1.1911,0.6957,1.242,0.6719,1.0136,0.7874,1.0,0.051
371,2019-01-28,1.1124,0.7694,0.9771,1.039,1.2237,1.1935,0.87,1.4674,0.1876,0.573,0.8393,1.2723,0.9089,0.6291,1.1581,0.7351,1.3344,1.5085,0.9716,1.1508,1.1101,1.3735,1.1269,1.2564,0.7855,0.5208,1.2286,1.1713,0.7261,1.2255,0.663,1.0144,0.777,1.0,0.051
372,2019-02-04,1.1163,0.7566,0.9881,1.0316,1.2157,1.1709,0.8699,1.4623,0.1829,0.5833,0.8276,1.1936,0.9011,0.6278,1.1393,0.7397,1.3116,1.464,0.9643,1.1708,1.0852,1.3558,1.1348,1.2489,0.7741,0.5086,1.2235,1.1573,0.7067,1.2158,0.7146,0.9883,0.7764,1.0,0.046
373,2019-02-11,1.106,0.7708,1.0161,1.0499,1.2181,1.1958,0.8833,1.4668,0.1594,0.6201,0.8389,1.1317,0.8817,0.633,1.1893,0.7386,1.3611,1.4938,0.9787,1.1627,1.1126,1.387,1.1251,1.2614,0.791,0.4989,1.2506,1.1511,0.6931,1.2242,0.7135,1.0067,0.7927,1.0,0.046
374,2019-02-18,1.0738,0.782,0.9952,0.9916,1.2142,1.1447,0.8547,1.4902,0.1359,0.6029,0.7989,1.064,0.8753,0.5836,1.1173,0.6866,1.2751,1.4527,0.9654,1.1798,1.1214,1.4032,1.0904,1.2627,0.8353,0.4663,1.3232,1.0783,0.6618,1.2111,0.6432,1.0117,0.7929,1.0,0.046
375,2019-02-25,1.0735,0.7644,1.0026,0.9972,1.2252,1.161,0.8697,1.4862,0.1576,0.6104,0.797,1.1064,0.8706,0.5969,1.1141,0.702,1.2761,1.4644,0.9755,1.1794,1.1071,1.4132,1.1036,1.2677,0.8342,0.4753,1.3335,1.0773,0.6672,1.2165,0.6477,1.0267,0.7834,1.0,0.046
376,2019-03-04,1.1283,0.7661,0.9963,1.0242,1.2231,1.2522,0.9553,1.6112,0.1462,0.685,0.8424,1.1812,1.0338,0.5717,1.1939,0.701,1.351,1.6084,0.97,1.1554,1.2222,1.3095,1.2233,1.3287,0.9242,0.5966,1.6259,1.004,0.658,1.1931,0.6537,1.0614,0.6923,1.0,0.048
377,2019-03-11,1.154,0.7695,0.9853,1.0429,1.1958,1.2779,0.932,1.6384,0.1021,0.6352,0.8426,1.0896,1.0234,0.5217,1.1834,0.6835,1.3422,1.6549,0.9792,1.1363,1.1712,1.3834,1.2427,1.3161,0.8498,0.6363,1.7387,0.9874,0.6688,1.1959,0.5525,1.0529,0.7008,1.0,0.048
378,2019-03-18,1.1354,0.7291,1.0494,1.0319,1.1736,1.2627,0.9608,1.6302,0.1182,0.6461,0.8468,1.092,1.0491,0.5389,1.1779,0.6956,1.3647,1.6585,0.9587,1.1065,1.1894,1.4243,1.2442,1.3265,0.8373,0.7252,1.8194,0.9882,0.6908,1.1906,0.5882,1.0611,0.6837,1.0,0.048
379,2019-03-25,1.116,0.7576,1.0216,1.0454,1.1751,1.2544,0.9583,1.6584,0.1404,0.6738,0.8396,1.0912,1.0636,0.5582,1.1721,0.6998,1.3212,1.653,0.9449,1.1205,1.1902,1.4711,1.274,1.3422,0.8224,0.7348,1.7727,0.9763,0.674,1.1954,0.5946,1.0742,0.688,1.0,0.048
380,2019-04-01,1.1136,0.7684,1.0192,1.044,1.1907,1.2554,0.9549,1.6743,0.1306,0.6605,0.8338,1.0804,1.0555,0.5598,1.1667,0.6897,1.3272,1.6339,0.9379,1.1219,1.188,1.4529,1.2085,1.3405,0.8183,0.7524,1.7711,0.9479,0.7262,1.1919,0.6266,1.0704,0.6833,1.0,0.048
381,2019-04-08,1.099,0.7809,1.0246,1.0099,1.1756,1.2313,0.9342,1.6559,0.1099,0.6507,0.8002,1.0801,1.0764,0.5528,1.1705,0.6934,1.3696,1.6295,0.9834,1.1729,1.2109,1.4323,1.2245,1.3601,0.8112,0.7871,1.7589,0.9476,0.7359,1.1912,0.5733,1.0724,0.6846,1.0,0.052000000000000005
382,2019-04-15,1.0992,0.7813,1.0468,1.004,1.1764,1.2378,0.9274,1.6534,0.1084,0.6463,0.7969,1.0617,1.0701,0.5525,1.1782,0.6876,1.3815,1.6302,0.9859,1.1921,1.207,1.3938,1.2248,1.3574,0.8063,0.7701,1.7755,0.9511,0.7458,1.1949,0.578,1.0668,0.6856,1.0,0.052000000000000005
383,2019-04-22,1.0905,0.7759,1.037,0.9884,1.1743,1.206,0.9392,1.6367,0.1447,0.6565,0.8015,1.0519,1.0837,0.5716,1.1434,0.6776,1.3566,1.6468,0.9741,1.1732,1.2057,1.375,1.2339,1.3408,0.817,0.7492,1.7276,0.9208,0.7723,1.1872,0.6068,1.0781,0.7581,1.0,0.052000000000000005
384,2019-04-29,1.0687,0.7493,1.03,1.0105,1.1697,1.2133,0.9229,1.6223,0.1466,0.6319,0.8031,1.0739,1.0942,0.5582,1.1556,0.6726,1.3309,1.6541,0.9475,1.1547,1.1983,1.3755,1.2418,1.3773,0.8121,0.7213,1.7205,0.9189,0.7813,1.1134,0.5922,1.0518,0.7677,1.0,0.052000000000000005
385,2019-05-06,1.0698,0.7451,1.0293,1.0095,1.1687,1.2116,0.9234,1.6206,0.1435,0.6288,0.803,1.0748,1.0959,0.556,1.1543,0.6719,1.3283,1.6524,0.9476,1.1527,1.2066,1.3766,1.2419,1.3779,0.812,0.7178,1.7212,0.9169,0.7796,1.1119,0.5918,1.0504,0.7696,1.0,0.051
386,2019-05-13,1.0847,0.7667,1.0822,1.0259,1.163,1.2128,0.9386,1.6331,0.1488,0.655,0.7772,1.0924,0.9853,0.5524,1.178,0.6879,1.3684,1.6586,0.9858,1.1618,1.2358,1.3639,1.2329,1.3932,0.7956,0.7473,1.6773,0.915,0.7594,1.1409,0.6143,1.0349,0.7736,1.0,0.051
387,2019-05-20,1.0998,0.755,1.0945,1.0261,1.1473,1.2173,0.9397,1.6029,0.1602,0.6597,0.7677,1.0315,0.9604,0.5423,1.1565,0.6896,1.3666,1.6555,0.9826,1.1645,1.2207,1.3877,1.2622,1.3804,0.7768,0.7138,1.6746,0.9174,0.7389,1.1331,0.5891,0.9975,0.7901,1.0,0.051
388,2019-05-27,1.1023,0.7552,1.1185,1.0182,1.1432,1.2234,0.9514,1.598,0.1611,0.6569,0.7693,1.0411,0.9536,0.534,1.1503,0.685,1.399,1.6621,0.9917,1.1995,1.2388,1.3707,1.2768,1.3731,0.7795,0.7206,1.728,0.9281,0.7372,1.1364,0.5877,0.987,0.7975,1.0,0.051
389,2019-06-03,1.0871,0.7743,1.1159,1.0121,1.1216,1.2069,0.9629,1.6123,0.2156,0.6955,0.7587,1.1367,0.9718,0.5676,1.1588,0.682,1.3772,1.6597,0.9997,1.2113,1.2804,1.4345,1.2404,1.3992,0.8137,0.8979,1.7917,0.9444,0.7417,1.1324,0.6536,1.0145,0.7878,1.0,0.051
390,2019-06-10,1.0634,0.7096,1.1794,1.0228,1.1005,1.1676,0.9513,1.5859,0.2638,0.7516,0.7854,1.1239,0.9527,0.5612,1.1202,0.7229,1.3901,1.5732,1.0336,1.3436,1.2203,1.363,1.1438,1.3751,0.8558,0.9547,1.7436,0.8097,0.6736,1.1356,0.6873,1.0525,0.7738,1.0,0.045
391,2019-06-17,1.0626,0.7001,1.1754,1.0185,1.1017,1.1588,0.9449,1.5667,0.2524,0.7732,0.7896,1.0845,0.9407,0.5599,1.1067,0.7195,1.3927,1.5804,1.0305,1.3334,1.229,1.3493,1.1454,1.3732,0.858,0.9436,1.739,0.7995,0.6533,1.1343,0.6695,1.044,0.7563,1.0,0.045
392,2019-06-24,1.0767,0.69,1.1772,1.024,1.0796,1.1928,0.9304,1.5312,0.2646,0.7393,0.7811,1.1625,0.9408,0.5478,1.0783,0.6988,1.4107,1.5498,1.0253,1.3555,1.2287,1.3357,1.0249,1.3571,0.8473,0.9673,1.7966,0.7941,0.6607,1.1435,0.6261,1.051,0.7751,1.0,0.045
393,2019-07-01,1.074,0.6896,1.1773,1.026,1.0797,1.1948,0.9303,1.5243,0.2697,0.7392,0.7821,1.1228,0.9409,0.5506,1.0753,0.6981,1.4035,1.5505,1.0238,1.3495,1.223,1.3256,1.0242,1.3584,0.8488,0.9658,1.7926,0.7991,0.6586,1.1427,0.627,1.0457,0.7764,1.0,0.045
394,2019-07-08,1.0666,0.7105,1.1857,1.0185,1.095,1.2037,0.9374,1.5528,0.2737,0.7381,0.7806,1.1072,0.9434,0.5548,1.0756,0.7046,1.374,1.5518,1.0174,1.3262,1.2344,1.3324,1.0212,1.3642,0.8478,0.9667,1.7668,0.8113,0.6684,1.1247,0.6391,1.0495,0.754,1.0,0.048
395,2019-07-15,1.0513,0.697,1.1617,1.0121,1.1016,1.2075,0.9235,1.5528,0.2687,0.7297,0.7774,1.0927,0.952,0.545,1.0917,0.6925,1.3832,1.5575,1.0174,1.315,1.2376,1.3222,1.0123,1.3525,0.8533,0.986,1.7798,0.8151,0.6681,1.1248,0.6332,1.0335,0.7459,1.0,0.048
396,2019-07-22,1.0691,0.7016,1.1572,0.9837,1.1039,1.2072,0.9384,1.5349,0.2721,0.7244,0.7924,1.0933,0.9474,0.5629,1.0811,0.7033,1.3597,1.5661,1.0252,1.302,1.2362,1.3384,1.0199,1.3471,0.8464,0.9951,1.8088,0.819,0.6877,1.1166,0.6177,1.0345,0.7197,1.0,0.048
397,2019-07-29,1.0694,0.6624,1.1517,0.9713,1.096,1.2081,0.9331,1.5435,0.2655,0.7006,0.7702,1.0746,0.9495,0.5536,1.0808,0.7016,1.3977,1.5457,1.0064,1.3103,1.248,1.3157,1.036,1.3743,0.8314,0.9863,1.7884,0.8743,0.7189,1.1091,0.5985,1.0429,0.7042,1.0,0.048
398,2019-08-05,1.0514,0.6817,1.1322,0.9654,1.084,1.2204,0.9061,1.5003,0.278,0.688,0.7775,1.0291,0.9756,0.5281,0.9801,0.6618,1.4347,1.5613,1.0499,1.2624,1.3362,1.2411,1.0219,1.4255,0.8381,1.0191,1.7199,0.8926,0.7593,1.0877,0.6292,1.0113,0.7599,1.0,0.040999999999999995
399,2019-08-12,1.0419,0.6814,1.1166,0.9621,1.08,1.2181,0.9123,1.4963,0.2795,0.7138,0.7777,1.0196,0.9701,0.5255,0.9702,0.6582,1.4337,1.5444,1.0495,1.2627,1.3478,1.2443,1.0143,1.4292,0.8352,1.0315,1.7199,0.8928,0.7522,1.0815,0.634,1.0169,0.7512,1.0,0.040999999999999995
400,2019-08-19,1.0279,0.7097,1.0943,0.9666,1.0766,1.2239,0.9092,1.5326,0.2921,0.7129,0.7841,1.0205,0.987,0.5259,0.9811,0.661,1.409,1.536,1.0539,1.2532,1.3519,1.2575,1.0267,1.4361,0.8492,1.0654,1.7221,0.8792,0.7516,1.089,0.6466,1.0144,0.7382,1.0,0.040999999999999995
401,2019-08-26,1.0216,0.7077,1.0883,0.9657,1.0646,1.2025,0.8947,1.5343,0.2965,0.7075,0.8175,1.0079,0.9992,0.5161,0.9653,0.6598,1.4269,1.532,1.0433,1.2425,1.3321,1.2535,1.0177,1.4394,0.854,1.0613,1.7284,0.8791,0.7611,1.0977,0.6269,0.9906,0.7433,1.0,0.040999999999999995
402,2019-09-02,1.013,0.7115,1.1032,0.9791,1.062,1.1984,0.9029,1.4411,0.3156,0.7175,0.8357,0.9882,0.9597,0.5132,0.9757,0.6448,1.4537,1.5225,1.0504,1.2439,1.258,1.22,1.0146,1.4464,0.9056,1.0402,1.704,0.8931,0.7834,1.1015,0.5543,0.9788,0.7304,1.0,0.040999999999999995
403,2019-09-09,1.0343,0.7524,1.1188,0.9887,1.0591,1.1988,0.9139,1.4482,0.3034,0.7138,0.8443,0.9991,0.9826,0.5181,0.9856,0.6572,1.4621,1.5428,1.0563,1.2628,1.2777,1.2448,1.0281,1.4422,0.918,1.0778,1.7361,0.9029,0.7903,1.1035,0.5537,0.9886,0.7014,1.0,0.044000000000000004
404,2019-09-16,1.052,0.7734,1.1301,0.9761,1.0541,1.187,0.9504,1.4747,0.3177,0.7437,0.8446,1.011,1.003,0.509,0.9461,0.6658,1.4578,1.5292,1.066,1.25,1.2576,1.2722,1.0491,1.4713,0.8811,1.1264,1.7721,0.9052,0.7768,1.1299,0.5599,1.0102,0.6961,1.0,0.044000000000000004
405,2019-09-23,1.0265,0.8221,1.192,0.9871,1.0073,1.175,0.9508,1.4659,0.2915,0.7848,0.809,1.022,0.9471,0.4726,0.9225,0.595,1.386,1.5504,1.0373,1.2333,1.3445,1.2955,1.0717,1.4817,0.9961,1.1405,1.7492,0.8985,0.7587,1.1002,0.5562,0.9882,0.7153,1.0,0.044000000000000004
406,2019-09-30,1.029,0.7996,1.182,0.9906,1.0061,1.1686,0.9438,1.4666,0.2869,0.7757,0.8062,1.0118,0.9475,0.4663,0.9184,0.5942,1.395,1.5575,1.0208,1.2283,1.3223,1.2915,1.1065,1.4802,0.9928,1.1185,1.7663,0.8946,0.7416,1.0984,0.558,0.9906,0.6993,1.0,0.044000000000000004
407,2019-10-07,1.0495,0.8592,1.2312,1.0367,1.0448,1.2505,0.9082,1.4483,0.2584,0.7798,0.747,0.9707,0.773,0.4559,0.908,0.5412,1.3754,1.5435,1.128,1.3033,1.3609,1.2826,1.1124,1.4795,0.9633,1.1639,1.7853,0.9165,0.8233,1.06,0.6295,0.8472,0.6392,1.0,0.038
408,2019-10-14,1.0282,0.8725,1.3012,1.014,1.0478,1.3009,0.8966,1.4428,0.2737,0.7947,0.7419,1.0652,0.7435,0.449,0.7983,0.5821,1.3357,1.5618,1.1004,1.2703,1.3512,1.2858,1.0881,1.4967,0.9432,1.1381,1.8073,0.9495,0.8564,1.0447,0.6335,0.8265,0.643,1.0,0.038
409,2019-10-21,1.0268,0.8595,1.3336,1.0077,1.028,1.2966,0.8997,1.445,0.2334,0.7548,0.7168,1.0732,0.7458,0.4225,0.825,0.5568,1.3828,1.5648,1.1138,1.3344,1.4199,1.2602,1.084,1.4921,0.9367,1.3127,1.7987,0.9623,0.9266,1.0284,0.6473,0.8429,0.6366,1.0,0.038
410,2019-10-28,1.0175,0.9137,1.326,1.0053,1.0317,1.3018,0.9014,1.369,0.2591,0.7754,0.7209,1.0525,0.728,0.4256,0.8095,0.5241,1.4461,1.5303,1.1124,1.3384,1.4365,1.2676,1.141,1.5064,0.9159,1.321,1.7827,0.976,0.8904,1.0842,0.6048,0.822,0.6471,1.0,0.038
411,2019-11-04,1.1888,0.9667,1.2179,0.9793,1.0275,1.301,0.9465,1.4582,0.2432,0.792,0.7692,1.0964,0.8035,0.4932,0.7973,0.5163,1.5112,1.5394,1.1238,1.4156,1.4256,1.2827,1.2464,1.5833,0.8852,1.4042,1.7485,0.9806,0.9471,1.0783,0.5402,0.8449,0.6708,1.0,0.031
412,2019-11-11,1.176,1.0537,1.2751,0.9011,1.0311,1.2149,0.9852,1.529,0.2298,0.8077,0.7784,1.1688,0.9059,0.4857,0.841,0.543,1.5284,1.4332,1.1624,1.6055,1.5127,1.3434,1.3645,1.6428,0.8788,1.617,1.9187,0.9446,0.919,1.0461,0.5506,0.8054,0.6859,1.0,0.031
413,2019-11-18,1.2662,1.0394,1.2797,0.8735,1.0604,1.239,1.0326,1.4813,0.3484,0.9381,0.7286,1.2563,0.6435,0.5582,0.8772,0.4629,1.4641,1.5247,1.1775,1.6085,1.5384,1.5012,1.4061,1.6454,0.9138,1.643,2.2122,0.9261,0.893,1.0737,0.6188,0.808,0.6483,1.0,0.031
414,2019-11-25,1.2568,1.0352,1.2719,0.8935,1.0522,1.2105,1.042,1.4542,0.3444,0.9559,0.7582,1.2344,0.6342,0.5615,0.8547,0.4111,1.4803,1.5124,1.18,1.6047,1.4876,1.4472,1.4214,1.6085,0.8446,1.6064,2.1829,0.9434,0.8731,1.0801,0.5864,0.8265,0.6557,1.0,0.031
415,2019-12-02,1.2634,1.0317,1.2274,0.9805,0.7203,1.1479,0.9756,1.2669,0.2586,0.7505,0.9001,1.0245,0.9238,0.4149,0.6696,0.6078,1.6599,1.3096,1.2691,1.8958,1.4479,1.3559,1.1027,1.8271,0.7948,2.1518,2.2052,0.9717,0.9874,1.2112,0.4073,0.7583,0.6676,1.0,0.031
416,2019-12-09,1.2453,1.0319,1.2361,0.9261,0.733,1.088,1.0204,1.3055,0.3366,0.8292,0.8851,1.0672,0.9235,0.4941,0.6835,0.5983,1.6403,1.2476,1.2601,2.0069,1.4343,1.4259,1.121,1.8613,0.7809,2.2024,2.2415,0.907,0.9388,1.2015,0.4355,0.7937,0.6331,1.0,0.035
417,2019-12-16,1.2868,1.0294,1.3418,1.0063,0.7526,1.1103,1.0244,1.2428,0.3577,0.826,0.9109,1.0131,0.9011,0.5235,0.7399,0.608,1.6488,1.2002,1.3445,2.0291,1.4481,1.4455,1.1241,1.8332,0.7797,2.1911,2.1779,0.8951,0.9485,1.2094,0.3944,0.7417,0.5872,1.0,0.035
418,2019-12-23,1.2291,1.0911,1.3754,1.0292,0.7564,1.1073,1.0249,1.2376,0.394,0.8305,0.9273,0.9914,0.8886,0.4445,0.7004,0.6519,1.6987,1.1948,1.3132,1.9482,1.4234,1.3412,1.1507,1.8641,0.8005,2.1925,2.2165,0.9697,0.9026,1.2946,0.5019,0.7805,0.5596,1.0,0.035
419,2019-12-30,1.273,1.052,1.4346,1.0464,0.7669,1.1061,1.0465,1.2364,0.3811,0.8839,0.9013,0.9108,0.8279,0.4153,0.6724,0.6574,1.773,1.2125,1.3896,1.9737,1.4505,1.3664,1.1278,1.8824,0.8432,2.2013,2.2897,0.9629,1.0903,1.3393,0.577,0.8096,0.616,1.0,0.035
